18:52:42 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:42 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:42 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:42 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:43 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:43 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:43 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:44 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:44 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:44 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:45 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:45 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:45 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:46 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:46 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:46 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:47 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:47 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:47 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:48 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:48 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:48 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:49 | URI: /los-cerignola-api/api/login | METHOD: POST
18:52:49 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:49 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:49 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:50 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:50 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:50 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:51 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:51 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:51 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:52 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:52 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:52 | URI: /los-cerignola-api/api/orders/15?status=In%20Preparazione | METHOD: PATCH
18:52:52 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:53 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:53 | URI: /los-cerignola-api/api/orders | METHOD: GET
18:52:54 | URI: /los-cerignola-api/api/orders | METHOD: GET
